ticker symbol	DBMS	client / embedded	runtime in seconds	start time	end time	host name	no. cores	operating system
agens	agens	AgensGraph	6	2020-08-27 11:39:44.576118000	2020-08-27 11:39:51.291676000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
cratedb	cratedb	CrateDB	14	2020-08-27 11:40:50.578253000	2020-08-27 11:41:05.148698000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
cubrid	cubrid	CUBRID	8	2020-08-27 11:41:51.790013000	2020-08-27 11:42:00.324804000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
derby	derby	Apache Derby [client]	18	2020-08-27 11:42:54.793916000	2020-08-27 11:43:13.571210000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
firebird	firebird	Firebird	63	2020-08-27 11:43:52.028241000	2020-08-27 11:44:55.815044000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
h2	h2	H2 Database Engine [client]	8	2020-08-27 11:45:29.486311000	2020-08-27 11:45:38.224587000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
hsqldb	hsqldb	HyperSQL Database [client]	17	2020-08-27 11:46:13.047750000	2020-08-27 11:46:30.173772000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
ibmdb2	ibmdb2	IBM Db2 Database	19	2020-08-27 11:52:53.387157000	2020-08-27 11:53:12.779402000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
informix	informix	IBM Informix	12	2020-08-27 11:57:33.992969000	2020-08-27 11:57:46.968695000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
mariadb	mariadb	MariaDB Server	6	2020-08-27 11:58:28.538707000	2020-08-27 11:58:35.336273000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
mimer	mimer	Mimer SQL	46	2020-08-27 11:59:20.212394000	2020-08-27 12:00:06.967113000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
monetdb	monetdb	MonetDB	36	2020-08-27 12:00:30.929220000	2020-08-27 12:01:07.152260000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
mysql	mysql	MySQL Database	10	2020-08-27 12:02:21.249357000	2020-08-27 12:02:31.387579000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
oracle	oracle	Oracle Database	12	2020-08-27 12:12:14.562349000	2020-08-27 12:12:26.928287000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
percona	percona	Percona Server for MySQL	8	2020-08-27 12:13:48.137566000	2020-08-27 12:13:56.730073000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
postgresql	postgresql	PostgreSQL Database	5	2020-08-27 12:14:35.513570000	2020-08-27 12:14:40.890123000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
sqlserver	sqlserver	MS SQL Server	8	2020-08-27 12:15:48.430730000	2020-08-27 12:15:57.395178000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
voltdb	voltdb	VoltDB	20	2020-08-27 12:16:40.626938000	2020-08-27 12:17:00.703423000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
yugabyte	yugabyte	YugabyteDB	21	2020-08-27 12:18:37.165959000	2020-08-27 12:18:58.830977000	travis-job-fd0a74d4-1961-401a-b89f-7eb0f1dba4fe	2	amd64 / Linux / 5.3.0-1029-gcp
